,date,username,text,retweets numbers
0,2017-10-31 08:58:40,MrRols,Banm al fin wè sak gen nan bèy sa #rstats pic.twitter.com/j3CtcTMKvQ,0
1,2017-10-31 08:54:18,IOSyIslam,"RT Talent_metrics ""Create editable Microsoft Office charts from R https:// buff.ly/2zXI7Jo #rstats #dataviz #datad … https:// twitter.com/i/web/status/9 25147821992480768 … """,0
2,2017-10-31 08:50:03,Talent_metrics,Create editable Microsoft Office charts from R https:// buff.ly/2zXI7Jo #rstats #dataviz #datadriven #IOPsych #Datavisualization pic.twitter.com/vQtkvaGm4i,3
3,2017-10-31 08:47:39,AndySugs,RT: rweekly_live: computational methods for numerical analysis with R [book review] #rstats #datascience https:// link.rweekly.org/74u,0
4,2017-10-31 08:46:49,FredHasselman,"Hey, what’s that? A terminal window next to the console? Thanks for including features @rstudio I never knew I wanted! #rstats #rstudio",0
5,2017-10-31 08:45:38,AndySugs,RT:machinelearnbot: RT KirkDBorne: Guide to Data Exploration with R: http:// bit.ly/1DQzE5h #abdsc #Rstats #Big … https:// twitter.com/i/web/status/9 25140762039410688 …,0
6,2017-10-31 08:31:29,rweekly_live,computational methods for numerical analysis with R [book review] #rstats #datascience https:// link.rweekly.org/74u,0
7,2017-10-31 08:28:15,BigData_Themen,RT DaveRubal: RT KirkDBorne: Guide to Data Exploration with R: http:// bit.ly/1DQzE5h #abdsc #Rstats #BigData #… https:// twitter.com/i/web/status/9 25140762039410688 …,0
8,2017-10-31 08:26:07,HumansAnalytics,Guide to Data Exploration with R: http:// bit.ly/1DQzE5h #abdsc #Rstats #BigData #Analytics #DataScience … https:// twitter.com/i/web/status/9 25140762039410688 …,0
9,2017-10-31 08:25:26,BigData_Themen,RT KirkDBorne: Guide to Data Exploration with R: http:// bit.ly/1DQzE5h #abdsc #Rstats #BigData #Analytics #Dat … https:// twitter.com/i/web/status/9 25140762039410688 …,0
10,2017-10-31 08:25:22,aksingh1985,i think its the whole world which has come to the party nt just germany #DataScience #rstats #DeepLearning https:// flovv.github.io/Data_Science_J ob_Market_update/ …,0
11,2017-10-31 08:24:27,AndySugs,RT: KirkDBorne: Guide to Data Exploration with R: http:// bit.ly/1DQzE5h #abdsc #Rstats #BigData #Analytics #Da … https:// twitter.com/i/web/status/9 25140762039410688 …,0
12,2017-10-31 08:22:00,KirkDBorne,Guide to Data Exploration with R: http:// bit.ly/1DQzE5h #abdsc #Rstats #BigData #Analytics #DataScience #Statistics by @AnalyticsVidhya pic.twitter.com/NeFnuaTdOc,19
13,2017-10-31 08:21:11,aksingh1985,i dont know if its really increasing bt good analysis.. thoughts @hdcripps #rstats #RforResearch https:// blog.nycdatascience.com/student-works/ increasing-airline-customer-satisfaction/ …,0
14,2017-10-31 08:08:22,annakrystalli,. @soayipm & I have been busy! #rstats @github ready for our @Sheffield_R_ #Hacktoberfest #Halloween special! pic.twitter.com/eyr1LHEj4m,18
15,2017-10-31 08:06:31,AndySugs,RT: Rbloggers: New R job: R programmer https://www. r-users.com/jobs/r-program mer-2/ … #rstats #DataScience #jobs,0
16,2017-10-31 08:05:44,Rbloggers,New R job: R programmer https://www. r-users.com/jobs/r-program mer-2/ … #rstats #DataScience #jobs,5
17,2017-10-31 08:02:40,AndySugs,RT: Rbloggers: R live class | Data Visualization and Dashboard with R | Nov 7-8 Milan https:// wp.me/pMm6L-EFb #rstats #DataScience,0
18,2017-10-31 08:02:13,CRANberriesFeed,CRAN updates: rsurfer http:// goo.gl/5g3iZ #rstats,0
19,2017-10-31 07:59:58,Rbloggers,R live class | Data Visualization and Dashboard with R | Nov 7-8 Milan https:// wp.me/pMm6L-EFb #rstats #DataScience,13
20,2017-10-31 07:57:56,IndoorEcology,Pretty sure I am on twitter right now because my version of the script from this post is running and I'm waiting on it... #genetics #rstats https:// twitter.com/molecologist/s tatus/925066884327919617 …,0
21,2017-10-31 07:41:56,chrisderv,"About network analysis in #rstats with igraph, tidygraph, ggraph, tidyverse and others. By @vivalosburros https:// jessesadler.com/post/network-a nalysis-with-r/ …",4
22,2017-10-31 07:21:13,AndySugs,RT: Rbloggers: Making a Shiny dashboard using ‘highcharter’ – Analyzing Inflation Rates https:// wp.me/pMm6L-EF9 #rstats #DataScience,0
23,2017-10-31 07:20:02,Rbloggers,Making a Shiny dashboard using ‘highcharter’ – Analyzing Inflation Rates https:// wp.me/pMm6L-EF9 #rstats #DataScience,25
24,2017-10-31 07:19:32,cricketcrocker,"As in, if this might be you ( #rstats and #biology tweeps), @me and I'll tell you who it is by DM if you're someone who follows them?",0
25,2017-10-31 07:16:28,cricketcrocker,A bunch of my #rstats tweeps follow someone whose bio is Sooper Problematic with the anti-indigenous racism. Can you all do an intervention?,0
26,2017-10-31 07:02:32,zenlytix,Great news for fans of @anacondainc and #rstats . @MicrosoftR now available on #Anaconda R essentials. https:// twitter.com/MicrosoftR/sta tus/925115129875845125 …,3
27,2017-10-31 07:02:14,CRANberriesFeed,CRAN updates: rvinecopulib http:// goo.gl/5g3iZ #rstats,0
28,2017-10-31 07:01:27,stephlabou,The #rstats and #python working groups/communities here are top notch. We've got sweet new logos! https:// twitter.com/thanhtungmilan /status/925062649619955713 …,0
29,2017-10-31 06:42:07,dataelixir,"skimr - frictionless, pipeable approach to dealing with summary statistics via @ropensci http:// datalxr.com/2yYmuuP #rstats #statistics",0
30,2017-10-31 06:26:23,aschinchon,Clifford Attractor #2 (10 Million points) #rstats #ggplot2 #maths @pickover pic.twitter.com/h6FexXSfQP,2
31,2017-10-31 06:25:08,MangoTheCat,Everything is improved by a RickRoll!! #rstats https:// twitter.com/ryanwesslen/st atus/924814291110367238 …,0
32,2017-10-31 06:23:53,TermehKousha,Central Limit Theorem #CLT #Statistics #MAthematics #biostat #rstats #UOttawa #MAT2379 #Normaldistribution #sampling #samplemean #mean pic.twitter.com/nvRuiR5GnI,2
33,2017-10-31 06:21:06,laura_tastic,Check out this tenure-track opening @UW statistics #rstats http:// ap.washington.edu/ahr/academic-j obs/position/aa25918/ …,0
34,2017-10-31 06:17:01,dataandme,"ICYMI ""lookup: R full function definitions, including compiled code, S3 & S4 methods"" a @jimhester_ joint https:// buff.ly/2xuParm #rstats pic.twitter.com/e1pjaYqDC4",1
35,2017-10-31 06:15:13,aschinchon,Clifford Attractor #1 (8 Million points) #rstats #ggplot2 #maths @pickover pic.twitter.com/nylLLeVMB1,0
36,2017-10-31 06:05:02,megisarecruiter,Want to know how to accelerate your R code on #Databricks ? Find out #rstats #SparkR #ApacheSpark … https:// twitter.com/i/web/status/9 25105638321086464 …,0
37,2017-10-31 06:02:26,databricks,Want to know how to accelerate your R code on #Databricks ? Find out #rstats #SparkR #ApacheSpark http:// dbricks.co/2zirkUl pic.twitter.com/DCgH01gWTN,0
38,2017-10-31 06:02:16,CRANberriesFeed,CRAN updates: dbhydroR phylocanvas http:// goo.gl/5g3iZ #rstats,0
39,2017-10-31 06:00:17,elpidiofilho,"#rstats News http:// tweetedtimes.com/v/16230?s=rgp - top stories by @TradingPain , @fjalolop000 , @psycho_demia",0
40,2017-10-31 05:59:03,nycdatageek,The latest dataGeek! https:// paper.li/nycdatageek/14 15134791?edition_id=282f05b0-bdb5-11e7-b350-0cc47a0d1609 … #machinelearning #rstats,0
41,2017-10-31 05:40:11,NumFOCUS,Support the #opensource #datascience tools you use every day — become a NumFOCUS member! https://www. numfocus.org/community/dona te/?utm_source=Twitter&utm_medium=Donor_Quote&utm_campaign=10_30_17 … #pydata #julialang #rstats pic.twitter.com/o1yoVzRBZ4,2
42,2017-10-31 05:02:50,Cruz_Julian_,Rbloggers 2017-04 Speeding up gridSVG https:// wp.me/pMm6L-EEH #rstats #DataScience,0
43,2017-10-31 05:02:20,CRANberriesFeed,CRAN updates: conover.test dodgr flan http:// goo.gl/5g3iZ #rstats,0
