,date,username,text,retweets numbers
0,2017-09-30 08:44:52,eric_bickel,Received my @rstudio #rstats swag in the mail today! Laptop game about to be too fresh pic.twitter.com/cniB2GeBTh,0
1,2017-09-30 08:37:18,sckottie,"preprint by @cboettig & I on @PeerJPreprints https:// peerj.com/preprints/3304 #rstats , #python , & #ruby clients for @GBIF species occurrence data",11
2,2017-09-30 08:30:07,kierisi,I genuinely when I can do something simple in #rstats to help out colleagues - and also get them interested in learning R.,0
3,2017-09-30 08:29:01,hadleywickham,If you play #destiny (like me) and like #rstats (like me!) I have the clan for you: https://www. bungie.net/en/ClanV2?grou pid=2657992 …,14
4,2017-09-30 08:04:12,josephsirosh,Counting every person on Earth to eradicate poverty and empower women https:// phys.org/news/2017-09-p erson-earth-eradicate-poverty-empower.html … #rstats #MachineLearning #AzureML,5
5,2017-09-30 08:02:37,CRANberriesFeed,CRAN updates: equSA ggrepel rdrop2 tidytext transport vcdExtra http:// goo.gl/5g3iZ #rstats,0
6,2017-09-30 07:54:23,Suzi_Ross,Kardashian index in #rstats for the lazy: c <- #number of citations fc <- 43.3*c^0.32 fa <- #number of twitter followers k <- fa / fc k,0
7,2017-09-30 07:41:13,thosjleeper,"The membership of R Core has officially been updated. Thanks for your service, Duncan Murdoch! https:// github.com/wch/r-source/c ommit/124b8a6bc635664e55c60115042a5d00bb934d14 … #rstats",3
8,2017-09-30 07:37:06,RLadiesSTL,"First open house was a success! Thanks to all our great speakers, sponsors, and guests! See you all at the next one. #rstats @RLadiesGlobal pic.twitter.com/w9lFdZrQEb",1
9,2017-09-30 07:31:14,DerFredo,"Posted by Bidyut Ghosh, now on R-bloggers: Multicollinearity in R #rstats http:// ift.tt/2x3mdle",0
10,2017-09-30 07:31:12,DerFredo,"Posted by Sharp Sight, now on R-bloggers: How to rapidly master data science #rstats http:// ift.tt/2xPOAHz",0
11,2017-09-30 07:24:33,rweekly_live,The Kelly Criterion — Does It Work? #rstats #datascience https:// link.rweekly.org/6et,1
12,2017-09-30 07:02:13,CRANberriesFeed,CRAN updates: drake http:// goo.gl/5g3iZ #rstats,1
13,2017-09-30 07:00:54,IOSyIslam,"RT Talent_metrics ""RT Rbloggers: Multicollinearity in R https:// wp.me/pMm6L-Eug #rstats #DataScience """,0
14,2017-09-30 06:59:09,AndySugs,RT: Rbloggers: How to rapidly master data science https:// wp.me/pMm6L-Euj #rstats #DataScience,0
15,2017-09-30 06:58:14,KirkDBorne,Essentials of common #MachineLearning #Algorithms (with #Python and R Code) http:// bit.ly/2bXJ2BR #abdsc #BigData #DataScience #Rstats pic.twitter.com/s017IhAcJA,14
16,2017-09-30 06:54:53,Rbloggers,How to rapidly master data science https:// wp.me/pMm6L-Euj #rstats #DataScience,20
17,2017-09-30 06:40:29,drisso1893,. @LeviWaldron1 kicking off the first ever NYC #bioconductor #meetup #rstats pic.twitter.com/DGpFsORDQm,8
18,2017-09-30 06:39:35,tladeras,Very excited to go to #odsc West 2017 in San Francisco. Any #Rstats people want to meet up there?,0
19,2017-09-30 06:36:05,saouderkirk,When Are Citi Bikes Faster Than Taxis in New York City? https:// buff.ly/2wZ8cFd - rad #rstats and #dataviz work from @todd_schneider pic.twitter.com/1AkiqKEvee,0
20,2017-09-30 06:33:49,jody_tubi,#rstats #Datavisualization #Maps https:// cran.r-project.org/web/packages/m apsapi/vignettes/intro.html …,0
21,2017-09-30 06:22:10,imanuelcostigan,Hasklig - an extension of the Source Code Pro monospaced font with ligatures https:// github.com/i-tu/Hasklig/ #rstats pic.twitter.com/8z8CsjceXt,0
