,date,username,text,retweets numbers
0,2018-08-31 08:57:05,RPanczak,"#Rstats , simple features, tmap",0
1,2018-08-31 08:47:51,dailydatadigest,"@arun_sriniv and @MattDowle : As creators of #rdatatable , what are your thoughts? Obviously you guys have done a fantastic job and it's a great tool in the #rstats toolbox, but do you see any value in users branching out a bit more?",0
2,2018-08-31 08:46:32,adaptive_plant,The #rstats cheatsheets from @rstudio and contributors are my top go-to resource for programming questions! Thanks to all contributors! https:// twitter.com/StatGarrett/st atus/1035173810385969152 …,7
3,2018-08-31 08:46:03,joe_thorley,We have a hex for our #rstats package ypr https:// poissonconsulting.github.io/ypr/ designed by The Forest http://www. theforest.ca pic.twitter.com/skSBq4magd,3
4,2018-08-31 08:42:46,JenRichmondPhD,"Be kind, be you, be awesome. Love this #wearitpurpleday message from @djnavarro #rstats #gganimate https:// twitter.com/djnavarro/stat us/1035300499803668481 …",1
5,2018-08-31 08:41:23,janewyx,"Exploring the #rstats #shiny react log feature: Start a new R session - options(shiny.reactlog=TRUE) shinyApp(ui, server) showReactLog() pic.twitter.com/iTUp7tLocD",1
6,2018-08-31 08:34:45,AdamGruer,"beautiful #wearitpurpleday2018 animation. For all the young #LGBTQI + geeks out there - made in #rstats with #gganimate , #wearitpurple #rlang https:// twitter.com/djnavarro/stat us/1035300499803668481 …",0
7,2018-08-31 08:21:33,tipsder,Curso de #R | Manipulación de data frames con ‘dplyr’ https:// mauricioanderson.com/curso-r-dplyr/ Gracias a @mau_anderson por este aporte. #rstats #DataSciece #rstatsES #dataviz pic.twitter.com/kTjc9ZuZeF,11
8,2018-08-31 08:02:24,Saurabh15038208,"#rstats I am facing some issues installing R Sodium - Cryptography package in docker build, I wanted to check if someone got similar issues while using R sodium using docker",0
9,2018-08-31 08:02:11,CRANberriesFeed,CRAN updates: Miso tinytex http:// goo.gl/5g3iZ #rstats,0
10,2018-08-31 07:57:28,djnavarro,"So today is #WearitPurpleDay2018 celebrating LGBTIQ young people, and in keeping with the spirit of #AnimateAnyday , it seems like a good moment for a GIF! #rstats #rainbowR pic.twitter.com/9utKUPHEWt",35
11,2018-08-31 07:44:01,matt_math,"Hiring a Research Analyst I. While post doesn’t mention #rstats explicitly, that is an equivalent skill. #Roracle helps as does #knitr and #SQL is vital. VC is a #GreatCollegeToWorkFor http:// agency.governmentjobs.com/victoriacolleg e/default.cfm?action=jobbulletin&JobID=2196318 …",1
12,2018-08-31 07:18:03,gemini_finance,Stop Talking Gobbledygook- #Buzzwords or #Buzzkill ? https:// buff.ly/2LDRcvr #communication #blackboxes #DigitalTransformation #analytics #DataScience #jargon #IoT #BigData #Scalability #cloud #infrastructure #rstats #Python #tableau #algorithms #crypto #Blockchain #AI #ML pic.twitter.com/TYIUF0E3YC,5
13,2018-08-31 07:11:26,chrisprener,"Using the R console instead of @rstudio . I haven't used it since my first failed attempt at learning #rstats and I gotta say, if RStudio had not come into my life, I'd still be using Stata.",0
14,2018-08-31 07:00:43,dataangeline,"#rstats FOMO is real, I want to stop checking Twitter every day but I worry about missing out on cool R things!",0
15,2018-08-31 06:58:42,DaveRubal,#Bayesian #Statistics for #DataScience . Here: http:// buff.ly/2KSdbi0 @rathiankit @TDataScience #AI #bigdata #analytics #MachineLearning #ML #rstats #datascientist @ipfconline1 pic.twitter.com/R05xXPgzu4,6
16,2018-08-31 06:56:50,webbedfeet,Just got a chance to use rsample in #rstats . Very nice @topepos @hadleywickham,0
17,2018-08-31 06:56:35,TheGinaGi,"Lots and lots of practice. Practice every day on your own. Get involved in an active online community, like the one spearheaded by @BecomingDataSci . Read lots, especially R for Data Science. Listen to podcasts. And don't give up. #RStats #RLadies #Diversity",0
18,2018-08-31 06:46:25,DynamicWebPaige,"...so we've established that the world lives on CSVs! Next question: when it comes to machine learning and data analysis at your workplace, what is the policy toward using open-source packages in production? Or for experimentation? ( #Python , #rstats , etc.)",4
19,2018-08-31 06:38:32,OppenheimerEvan,"In case you missed it, I released my first #rstats package a few days ago. It's a package for scraping hockey data from EliteProspects. Give it a try, and let me know what you think! https:// twitter.com/OppenheimerEva n/status/1034407281578913792 …",1
20,2018-08-31 06:25:49,vitorwilherbr,Veja análise automatizada da PNAD Contínua com o R. #rstats #rlang #datascience https:// analisemacro.com.br/economia/merca do-de-trabalho-economia/desemprego-recua-no-trimestre-encerrado-em-julho/ …,0
21,2018-08-31 06:17:15,jrosenberg6432,"One of the first things I did in #rstats was try to do text analysis/NLP. ~3 years ago, at least from my vantage, the tm package was the most widely-used. It was feature-full but hard to use. Contrast w/ present state is striking: quanteda, tidytext, textfeatures, all outstanding",4
22,2018-08-31 06:15:33,dailydatadigest,Shout out to @ThomasMailund for being one of the few/only #rstats authors who are looking under the hood and writing about it. Big fan.,2
