,date,username,text,retweets numbers,geo
0,2018-04-30 08:41:05,aguanaraulluis,@DROFARMA Se solicita con urgencia el medicamento Colistina de 100 mg para paciente adulto con meningitis . Favor informar su existencia. Teléfonos: 04166255343//04123976863. @aguanaraulluis . Gracias.,0,
1,2018-04-30 08:31:50,PBClinic,Meningococcal meningitis : Stomach pain should be seen as a warning sign https://www. sciencedaily.com/releases/2018/ 04/180426110500.htm …,0,
2,2018-04-30 08:31:45,aguanaraulluis,@ServicioPubliVE Se solicita con urgencia el medicamento Colistina de 100 mg para paciente adulto con meningitis hospitalizado en el Hospital de El Llanito.. Contacto: 04166255343//04123976863. Gracias.,0,
3,2018-04-30 08:23:15,OksannaBriere,"Im math retarded and im not even joking, meningitis burned that part who can calculate shit and some others not including my retina. Show her my shit and tell her that.",0,
4,2018-04-30 08:22:28,ohhalenaww,Mack: my neck hurts Me: take some Advil Mack: no I’m going to look it up online. I have meningitis .,0,
5,2018-04-30 08:20:07,bebconnor,69% sure I have meningitis a.k.a a migraine but sure we’ll stick with it for now.,0,
6,2018-04-30 07:42:18,YourAnonVzla,"ATENCIÓN Se necesita URGENTE ""Colistina de 100 MG"" Para paciente con meningitis bacteriana. Información de contacto 416-6255343 @DonaMed_VE @chepafer",34,
7,2018-04-30 07:34:10,shoshido,"Hey twitter, any of you ever had viral meningitis ? Thanks!",0,
8,2018-04-30 07:28:26,bellydancefae,"Seems like meningitis is done, yay! Now just need the weather to stabilize for my head to calm down. In other news, I'm trying to inject more fun and light into my life. Anyone want to try to hang out despite my crazy schedule, let me know!",0,
9,2018-04-30 07:21:11,DrToddLee,https:// link.springer.com/article/10.100 7%2Fs10096-015-2450-6 … looks interesting. Though I count on less than two hands the number of real meningitis I've seen --- it's a rare bird,0,
10,2018-04-30 07:14:23,KathyLette,"NEVER look up your illnesses on line. My earache turned out to be cellulitis – which sounds like Kim Kardashian’s posterior, pre photo-shop. But no. A little light googling warns me of sepsis, meningitis and, oh death. Say goodbye loudly OR I WON’T HEAR YOU.",6,
11,2018-04-30 07:13:12,Lizzlie,Today we had to say goodbye to our beautiful boy Yorkie. He had meningitis - he rallied for 2 weeks but then deteriorated so badly this weekend we had to let him go. Devastated. pic.twitter.com/xjjjjTawxp,0,
12,2018-04-30 07:13:03,UTAU_Cacilie,It's easy to mistake the early signs and symptoms of meningitis for the flu. So that flu could be a little more serious than you think.,0,
13,2018-04-30 07:07:16,GarArmstrong,Only 1 week to go ! @marathonbcm @Deep_RiverRock @M_R_F #TeamMRF #Meningitis #DeepRiverRock #BelfastCityMarathon #BelfastMarathon #LoveBelfast #Belfast #NorthernIreland #VisitBelfast @VisitBelfast @love_belfast #LoveBelfast http://www. justgiving.com/Gareth-Armstro ng7 … pic.twitter.com/n5GmapBWvc,0,
14,2018-04-30 07:05:40,saddamh78466460,Antibiotics from Head to Toe: Part 1 - Meningitis https:// youtu.be/csyeJ0o9wNQ via @YouTube,0,
15,2018-04-30 07:04:38,RogueRad,"But your objections won't extend to a detached third party forcing abx on a child with meningitis , despite the parental objection, I assume",0,
16,2018-04-30 06:59:59,prosperity_md,Meningitis symptoms can appear suddenly. Educating yourself on these 22 symptoms may save a life. https://www. medicalnewstoday.com/articles/32102 9.php …,0,
17,2018-04-30 06:41:11,aguanaraulluis,@globovision Se solicita con urgencia el medicamento Colistina de 100 mg para paciente adulto con meningitis . Teléfonos: 04166255343//04123976863.,1,
18,2018-04-30 06:40:02,jurnalis_selow,5 Cara Praktis yang Efektif Cegah Meningitis http://www. jpnn.com/news/5-cara-pr aktis-yang-efektif-cegah-meningitis …,0,
19,2018-04-30 06:35:01,jpnncom,5 Cara Praktis yang Efektif Cegah Meningitis #meningitis http:// jpnn.com/news/5-cara-pr aktis-yang-efektif-cegah-meningitis …,0,
20,2018-04-30 06:32:28,IndeedimDope,laura perego porn movies bacterial meningitis symptoms in adults monsters and sex xxx tube debonair indian https:// twitter.com/Lillian0389493 9/status/965510522652250112/video/1 …,0,
21,2018-04-30 06:32:01,NewsUpdate_ID,5 Cara Praktis yang Efektif Cegah Meningitis http://www. jpnn.com/news/5-cara-pr aktis-yang-efektif-cegah-meningitis …,0,
22,2018-04-30 06:11:58,NotYourMestizo,"Shout out to @RenoFireDept 4th St Station for keeping us safe and sound at the Plaza! From a fire sprinkler flood to meningitis , these folks have saved my life (and remaining sanity) countless times, always with kindness.",0,
23,2018-04-30 06:03:08,katwilson04,"My #1GoodThing this week is getting home from hospital being given the all clear from viral meningitis . It's been a scary week, but I'm home to recover.",0,
24,2018-04-30 06:00:00,DailyMirror,Mum reveals heartbreaking comments strangers make about brave son who lost his leg to deadly meningitis https://www. mirror.co.uk/news/uk-news/l ittle-boy-who-lost-legs-12450463 … pic.twitter.com/cTog3PYHay,6,
25,2018-04-30 05:31:45,jessiemoore134,"Told my mam I’ve a rash on my leg then googled said rash and said it’s a rash associated with meningitis and my ma just turned around and said didn’t kill you the first time, maybe second time lucky Fuckiiijnnnngggggg bitchhhhhh",0,
