,date,username,text,retweets numbers,geo
35,2017-05-31 06:56:11,ABCCardinal,"#OñondivepaPorElSur ""Hicimos una campaña fuerte para concienciar sobre la #meningitis "" Hugo Tintel del @MECpy #AnchoPerfil #730AM",1,
36,2017-05-31 06:54:20,PatriciaTouche,mendoza Murió un alumno por meningitis y no habrá clases en una escuela de Rodeo del Medio pic.twitter.com/pN0r7j0Vgy,1,
37,2017-05-31 06:50:15,HelenLBrookes,This is fantastic news @M_R_F . Well Done A huge leap forward #meningitis #meningitisawareness https:// twitter.com/M_R_F/status/8 69544217189765120 …,0,
38,2017-05-31 06:43:13,shibafkenglish,Meningococcal meningitis is usually associated with a generalized vasculitic rash. 髄膜炎菌性髄膜炎では通常、全般性の血管炎性皮疹がみられる。,0,
39,2017-05-31 06:32:44,mdzonline,Falleció un niño de Rodeo del Medio por meningitis http://www. mdzol.com/nota/736555-fa llecio-un-nino-de-rodeo-del-medio-por-meningitis/?utm_campaign=Echobox&utm_content=rs&utm_medium=Echobox&utm_source=Twitter#link_time=1496179900 … pic.twitter.com/m6MlIbWQ2J,3,
40,2017-05-31 06:28:03,realmartinmcc,One thing more dangerous than meningitis is an out break of Kulturefest,0,
41,2017-05-31 06:26:59,elisejames12,Stg if jordanna doesn't wake up tomoz to take me for my jab and I die of meningitis I will hunt her down in my after life and torture her,0,
42,2017-05-31 06:21:00,lauriguevara,Murió un alumno por meningitis y no habrá clases en una escuela de Rodeo del Medio http://www. elsol.com.ar/nota/304749#.W S3iOntjbE4.twitter …,1,
43,2017-05-31 06:20:05,diarionorte,Confirman un caso de meningitis en la Escuela 168 que fue controlado http:// dlvr.it/PH6g4V,0,
44,2017-05-31 06:19:40,HelloTiffi_,You can get meningitis from another person????? https:// twitter.com/moodyteeny/sta tus/869659300972683266 …,0,
45,2017-05-31 06:17:45,elsolonline,ACTUALIZADA/ Murió un alumno por meningitis y no habrá clases en una escuela de Rodeo del Medio http://www. elsol.com.ar/nota/304749/pr ovincia/murio-un-alumno-por-meningitis-y-no-habra-clases-en-una-escuela-de-rodeo-del-medio.html …,0,
46,2017-05-31 06:10:29,essienbassey203,Meningitis Kills Two In Lagos As Death Toll Rises To 438 - https://www. 36ng.ng/2017/04/09/men ingitis-kills-two-lagos-death-toll-rises-438/ …,0,
47,2017-05-31 06:08:47,kriya_amin,Ready for tomorrow's bake sale to raise meningitis awareness #MayMayhem #brownies @MeningitisNow @LeighDayClinNeg @LDBrainandSpinal pic.twitter.com/CbT17dBwyJ,4,
48,2017-05-31 06:07:42,WorldTruthTV,50 African Children Paralyzed after receiving Bill Gates-backed Meningitis https:// worldtruth.tv/50-african-chi ldren-paralyzed-after-receiving-bill-gates-backed-meningitis-vaccine/?utm_source=twitter&utm_medium=social&utm_campaign=SocialWarfare … via @https://twitter.com/WorldTruthTV,3,
49,2017-05-31 06:07:24,WorldTruthTV,50 African Children Paralyzed after receiving Bill Gates-backed Meningitis Vaccine http:// fb.me/1phVEw5Oq,0,
50,2017-05-31 05:46:00,bekiaes,"Hay un caso de meningitis en el colegio de mi hijo, ¿debo preocuparme? http:// xure.eu/au9qrs pic.twitter.com/wxHSMJuDNm",0,
51,2017-05-31 05:41:27,pfizer,In the EU 6 serogroups cause most #meningitis & serogroup B is most common in the EU pic.twitter.com/ic5jQfS1UJ,3,
52,2017-05-31 05:22:16,RachellWalsh,Sky Dive For Meningitis Research https://www. gofundme.com/sky-dive-for-m eningitis-research?pc=tw_dn_cpgnsharemore_r&rcid=r01-149617570784-500cb48c048547aa …,2,
53,2017-05-31 05:18:08,evcrojas,MENINGITIS ... Para tener en cuenta ... pic.twitter.com/4lmaG2TFMs,3,
54,2017-05-31 05:15:44,MendozaMiCiudad,Murió un alumno por meningitis y no habrá clases en una escuela de Rodeo del Medio http:// dlvr.it/PH5bqm pic.twitter.com/p5yxjp1ONt,0,
55,2017-05-31 05:14:43,BABAUNL0CK,Visionary governors in Northern Nigeria? The Kogi one in northern central or the one that said fornication is responsible for meningitis,0,
56,2017-05-31 05:08:37,KPRC2Haley,"We heard you, some alarmed after daycare says kid has meningitis . Health dept confirms it is NOT a contagious form pic.twitter.com/6m2OHg0VDS",2,
57,2017-05-31 05:07:09,reliefweb,. @MSF responds to declared Meningitis C outbreaks in #Nigeria & #Niger http:// bit.ly/2qxdCsH,3,
58,2017-05-31 05:05:39,manninopa,Muere un alumno de primaria por Meningitis ...ya están desinfectando la escuela...y la DGE no sabe nada...vía @elsolonline,1,
59,2017-05-31 05:05:24,elsolonline,Murió un alumno por meningitis y no habrá clases en una escuela de Rodeo del Medio http://www. elsol.com.ar/nota/304749/pr ovincia/murio-un-alumno-por-meningitis-y-no-habra-clases-en-una-escuela-de-rodeo-del-medio.html …,4,
60,2017-05-31 04:54:25,invisiblegirl99,"Wonder if that's related to the meningitis , or just the amount of time that passed?",0,
61,2017-05-31 04:50:10,SaltashPolice,"Watched 1st series of ""no offence"" pre meningitis ..apparently! Now getting into season 2 & can't remember a blooming thing about series 1! pic.twitter.com/ONnXPXCs2b",2,
62,2017-05-31 04:48:02,4eyedmonk,I say #NotAnotherNigerian will have to die from meningitis because we have to wait for the West to send us vaccines.,4,
63,2017-05-31 04:38:28,ArisetoInspire,Delta State Commissioner of #Health allays fears of residents over #Meningitis #outbreak http://www. wingsnewspaper.com/delta-state-co mmissioner-health-allays-fears-residents-meningitis-outbreak?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #epidemic,0,
64,2017-05-31 04:36:04,prpnews,http:// tinyurl.com/y82zfq3n Meningitis C: MSF responds to declared outbreaks in Nigeria and Niger,0,
65,2017-05-31 04:34:59,AdoptedLife,my brother was born hearing but got meningitis at the age of 6 months old which left him profoundly deaf. this man is my complete role model,0,
66,2017-05-31 04:34:12,KeithyBhoy,@swansea1991 Never knew Stevie had TB Meningitis ! Extraordinary. #Legend #LisbonLions #1967,0,
67,2017-05-31 04:30:41,YayaPi15,Hoy junto a personas extraordinarias!!!! #UnaVidaPorDakota y la conferencia sobre la prevención de MENINGITIS por maningococo #VACUNATE pic.twitter.com/v5cAJBWlMY,10,
68,2017-05-31 04:27:21,RobSame,"As healthy as my lifestyle seemed, I contracted measles, mumps, rubella, a type of viral meningitis , scarlatina,... http:// fb.me/30WvZCjsM",0,
69,2017-05-31 04:26:14,DrSeraJames,"Haemophilus influenzae Type a Meningitis in Immunocompetent Child, Oman, 2015 http:// wwwnc.cdc.gov/eid/article/23 /7/17-0311 …",0,
70,2017-05-31 04:22:49,apotekpeninggi,"Radang selaput otak ( meningitis ) dapat menyebabkan serangan epilepsi (sawan,ayan,dll)",0,
71,2017-05-31 04:21:33,seawitchspells,"Scopula, Pirana Come winds of the Marmara Sea Calyces, glossitis Et max meningitis Dzayny to me",0,
72,2017-05-31 04:15:47,Angelica600M,"Que la vacuna Bexsero contra la meningitis B sea gratuita y se incluya en el calendario de vacunación,... http:// fb.me/12oB23O7h",0,
73,2017-05-31 04:06:08,jukeneigo,"As a matter of fact, two years ago, I had to face this problem when my mother collapsed from meningitis ./実は、2年程前、私の母が髄膜炎のためにたおれ、この問題と直面しました。",0,
74,2017-05-31 04:03:02,Tonizonte1,#Viaja seguro sin Meningitis pic.twitter.com/lgELgaOC1G,0,
75,2017-05-31 04:00:00,usmle_japanese,Viral meningitis で最も多いのがEnterovirus,0,
76,2017-05-31 03:59:40,BrenCarvalhoAxe,Hoy tuve una conferencia de prevención sobre la meningitis y no pude ir más feliz y cómoda con… https://www. instagram.com/p/BUujhuYBGEW/,5,
77,2017-05-31 03:58:41,PharmaCentra,New push for meningitis B vaccines on college campuses http://www. wsj.com/articles/new-p ush-for-meningitis-b-vaccines-on-college-campuses-1441648703 … via @WSJ #HowToMakeCollegeEasier #healthcare pic.twitter.com/BzXDAkttD6,0,
78,2017-05-31 03:50:57,estheticdolans,IF THE VIDEO GOES UP WHILE I HAVE TO GET MY MENINGITIS SHOT IM GONNA BE SO PRESSED,0,
79,2017-05-31 03:39:29,beckyblackbooks,Me and my siblings would never have been born. My mother would have died of TB meningitis in 1952 at age 12. Streptomycin saved her.,0,
80,2017-05-31 03:38:47,MummyPagesUK,'We lost our beautiful daughter': Mum's plea to make meningitis vaccine available http:// mumy.uk/acj pic.twitter.com/hSTjqyeWcE,0,
81,2017-05-31 03:38:41,MummyPages,'We lost our beautiful daughter': Mum's plea to make meningitis vaccine available http:// mumy.me/x3j pic.twitter.com/KAEv0PoH5N,0,
82,2017-05-31 03:31:17,charliesaidthat,5 (three weeks before I was five actually) - Meningitis https:// twitter.com/debecca/status /733424038572216321 …,0,
83,2017-05-31 03:28:26,PharmaCentra,New push for meningitis B vaccines on college campuses http://www. wsj.com/articles/new-p ush-for-meningitis-b-vaccines-on-college-campuses-1441648703 … via @WSJ #HowToMakeCollegeEasier #healthcare pic.twitter.com/cN4m1F4gXo,1,
84,2017-05-31 03:28:12,BIOCIENCIA2013,"Listeria monocytogenes meningitis in the Netherlands, 1985–2014: A nationwide surveillance study http://www. journalofinfection.com/article/S0163- 4453%2817%2930111-1/fulltext#.WS25q4am_Gc.twitter …",0,
85,2017-05-31 03:21:30,BlueLionBlog,"Merck is in Federal Court over their Mumps component of MMR. Urabe strain caused meningitis . I'd say the vaccine failed, not me.",0,
86,2017-05-31 03:17:50,SubaruLoveland,Have you signed up for @sierrasrace yet? Register for the race that raises money for meningitis awareness: http:// ow.ly/93uh30c9G0i pic.twitter.com/RW61i4QZSE,0,
87,2017-05-31 03:16:48,cesarincong,"Luego de ser agredido por la GNB, un joven detenido en #Carora presenta una fisura de cráneo que le podría causar una meningitis permanente.",3,
88,2017-05-31 03:04:51,madamedemadame,"Good evening to those of you stuck in traffic. The rest of you, go and collect your good evening from govanor hotel de meningitis .",0,
89,2017-05-31 03:01:28,Uchez2,"The north love each other so.much that they have to subject their people to IDP camps, stole meningitis drugs and subject them to almajiris",4,
90,2017-05-31 02:53:13,ttwicepink,I have to get my meningitis shot for college today I'm suddenly no longer going to college,0,
91,2017-05-31 02:46:52,Tonizonte1,#viaja seguro sin Meningitis pic.twitter.com/99gmVkvORo,0,
92,2017-05-31 02:44:20,Tonizonte1,#viaja seguro sin Meningitis pic.twitter.com/5Us6Ay5kr6,0,
93,2017-05-31 02:42:13,LilyTahuri,Niger: Meningitis C: MSF responds to declared outbreaks in Nigeria and Niger #humanitarian #newzealand #auckland pic.twitter.com/FoeyWYHWEv,0,
94,2017-05-31 02:42:08,Tonizonte1,#Viaja seguro sin Meningitis pic.twitter.com/OHIph3yrTi,0,
95,2017-05-31 02:40:06,gcmcDrought,"Niger: Meningitis C: MSF responds to declared outbreaks in Nigeria and Niger, see http:// ift.tt/2qybAVd #drought",0,
96,2017-05-31 02:39:12,Tonizonte1,#Viaja seguro sin Meningitis pic.twitter.com/okGmOEXUJB,0,
97,2017-05-31 02:36:15,Tonizonte1,#Viaja seguro sin Meningitis pic.twitter.com/mmbesZlOJd,0,
98,2017-05-31 02:34:43,PharmaCentra,#HowToMakeCollegeEasier New push for meningitis B vaccines on college campuses http://www. wsj.com/articles/new-p ush-for-meningitis-b-vaccines-on-college-campuses-1441648703 … via @WSJ pic.twitter.com/6kdXkd7QXj,1,
99,2017-05-31 02:26:34,HeyCloverHey,"Owens jealous that I had a meningitis injection because he likes the ""prick"" feeling",0,
